id,name,category,calories(kcal),sugars(g),protein(g),sodium(mg),saturated_fat(mg),caffeine(mg),allergy
1077,핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,스타벅스 리프레셔,100,18,1,40,0,30,
1078,유자 패션 피지오,스타벅스 피지오,145,36,0,5,0,0,
1079,쿨 라임 피지오,스타벅스 피지오,105,25,0,20,0,110,
1080,피치 딸기 피지오,스타벅스 피지오,145,26,0,20,0,37,복숭아
1081,민트 블렌드 티,티,0,0,0,0,0,0,
1082,블루밍 프루트 유스베리 티,티,175,40,1,0,0,20,복숭아
1083,아이스 민트 블렌드 티,티,0,0,0,0,0,0,
1084,아이스 얼 그레이 티,티,0,0,0,0,0,50,
1085,아이스 유스베리 티,티,0,0,0,0,0,20,
1086,아이스 유자 민트 티,티,145,37,0,5,0,0,
1087,아이스 잉글리쉬 브렉퍼스트 티,티,0,0,0,0,0,40,
1088,아이스 제주 유기 녹차,티,0,0,0,0,0,16,
1089,아이스 캐모마일 블렌드 티,티,0,0,0,0,0,0,
1090,아이스 히비스커스 블렌드 티,티,0,0,0,0,0,0,
1091,얼 그레이 티,티,0,0,0,0,0,70,
1092,유스베리 티,티,0,0,0,0,0,20,
1093,유자 민트 티,티,235,58,0,10,0,0,
1094,잉글리쉬 브렉퍼스트 티,티,0,0,0,0,0,70,
1095,자몽 허니 블랙 티,티,125,30,0,5,0,70,
1096,제주 금귤 패션 티,티,230,52,1,10,0,0,
1097,제주 유기 녹차,티,0,0,0,0,0,16,
1098,캐모마일 블렌드 티,티,0,0,0,0,0,0,
1099,히비스커스 블렌드 티,티,0,0,0,0,0,0,
1100,레드 파워 패션 티,티,190,31,1,40,0,33,복숭아
1101,아이스 자몽 허니 블랙 티,티,125,30,0,5,0,30,
1102,아이스 제주 금귤 패션 티,티,230,52,1,10,0,0,
1103,제주 한라봉 말차 블렌디드,티,330,77,2,35,0,30,
1104,플럼 선셋 유스베리 티,티,175,36,0,10,0,8,복숭아
1105,돌체 블랙 밀크 티,티,250,34,8,115,5,60,우유
1106,말차 샷 아포가토,티,230,18,4,70,10,30,우유
1107,말차 티 슈페너,티,400,38,10,220,15,60,우유
1108,아이스 돌체 블랙 밀크 티,티,210,31,6,85,3.7,35,우유
1109,아이스 말차 티 슈페너,티,320,31,7,160,12,60,우유
1110,아이스 얼 그레이 바닐라 티 라떼,티,325,33,8,115,11,29,대두 / 우유
1111,아이스 제주 유기농 말차로 만든 라떼,티,155,16,6,95,3.6,60,우유
1112,아이스 차이 티 라떼,티,190,31,5,70,3,70,우유
1113,얼 그레이 바닐라 티 라떼,티,360,36,9,120,12,55,대두 / 우유
1114,제주 유기농 말차로 만든 라떼,티,205,20,9,130,5,60,우유
1115,차이 티 라떼,티,200,31,6,70,3,70,우유
1116,시그니처 핫 초콜릿,기타 제조 음료,500,52,15,105,9,15,우유
1117,아이스 시그니처 초콜릿,기타 제조 음료,325,32,10,70,7,15,우유
1118,플러피 판다 아이스 초콜릿,기타 제조 음료,415,39,11,150,16,0,우유
1119,플러피 판다 핫 초콜릿,기타 제조 음료,470,48,12,160,17,0,우유
1120,스타벅스 슬래머,기타 제조 음료,235,55,0,0,0,0,
1121,스팀 우유,기타 제조 음료,215,18,13,173,7,0,우유
1122,아이스 제주 까망 라떼,기타 제조 음료,440,45,10,210,11,0,땅콩 / 대두 / 우유 / 알류 / 밀 / 오징어
1123,우유,기타 제조 음료,240,18,12,200,8,0,우유
1124,제주 까망 라떼,기타 제조 음료,445,49,13,250,7,0,땅콩 / 대두 / 우유 / 알류 / 밀 / 오징어
1125,필 더 그린 190ML,스타벅스 주스(병음료),90,15,1,15,0.2,0,
1126,필 더 레드 190ML,스타벅스 주스(병음료),90,16,1,45,0.1,0,
1127,필 더 옐로우 190ML,스타벅스 주스(병음료),100,16,1,0,0.1,0,
1128,딸기주스 190ML,스타벅스 주스(병음료),110,25,0,30,0,0,
1129,망고주스 190ML,스타벅스 주스(병음료),117,23,1,15,0,0,
1130,스타 루비 자몽 스위트 190ML,스타벅스 주스(병음료),129,32,0.2,5,0,0,
1131,유기농 오렌지 100% 주스 190ML,스타벅스 주스(병음료),95,20,2,5,0,0,
1132,유기농 오렌지 100% 주스 591ML,스타벅스 주스(병음료),290,62,6,10,0.6,0,
1133,케일&사과주스 190ML,스타벅스 주스(병음료),105,26,0,25,0,0,
1134,핑크 용과 레모네이드 190ML,스타벅스 주스(병음료),88,19,0,5,0,0,
1135,한라봉주스 190ML,스타벅스 주스(병음료),88,20,1,10,0,0,
1136,햇사과 주스 190ML,스타벅스 주스(병음료),113,27,0.2,10,0,0,
1137,햇사과 주스 591ML,스타벅스 주스(병음료),360,84,1.3,20,0,0,
1138,딸기 가득 요거트 190ML,스타벅스 주스(병음료),155,21,4,50,3.2,0,우유
1139,블루베리 요거트 190ML,스타벅스 주스(병음료),155,18,5,70,3.6,0,우유
1140,애플망고 코코넛 190ML,스타벅스 주스(병음료),244,21,3,9,11,0,대두
1141,한라봉 코코넛 190ML,스타벅스 주스(병음료),236,19,3,9,10,0,대두
