id,name,category,price,calories(kcal),sugars(g),protein(g),sodium(mg),saturated_fat(mg),caffeine(mg),status
1065,바닐라 빈 푸딩 블렌디드 위드 콜드 브루,블렌디드,7100,365,44,10.0,240.0,7.0,109,Ice
1066,망고 패션 티 블렌디드,블렌디드,5900,150,29,2.0,105.0,0.0,0,Ice
1067,더 그린 쑥 블렌디드,블렌디드,6800,370,40,13.0,610.0,6.0,157,Ice
1068,딸기 딜라이트 요거트 블렌디드,블렌디드,6800,370,57,9.0,110.0,4.3,0,Ice
1069,망고 바나나 블렌디드,블렌디드,6800,290,45,4.0,130.0,0.9,0,Ice
1070,민트 초콜릿 칩 블렌디드,블렌디드,6800,455,52,9.0,190.0,14.0,0,Ice
1071,제주 금귤 듬뿍 블렌디드,블렌디드,6800,430,94,2.0,20.0,0.0,0,Ice
1072,제주 말차 & 애플망고 블렌디드,블렌디드,6800,575,82,17.0,240.0,9.0,79,Ice
1073,피치 요거트 블렌디드,블렌디드,6800,240,35,2.0,75.0,0.8,0,Ice
1074,망고 용과 레모네이드 스타벅스 리프레셔,스타벅스 리프레셔,6400,95,23,0.0,35.0,0.0,25,Hot
1075,퍼플 드링크 위드 망고 용과 스타벅스 리프레셔,스타벅스 리프레셔,6400,90,16,0.0,70.0,0.0,25,Hot
1076,딸기 아사이 레모네이드 스타벅스 리프레셔,스타벅스 리프레셔,6400,105,24,1.0,0.0,0.0,30,Hot
1077,핑크 드링크 위드 딸기 아사이 스타벅스 리프레셔,스타벅스 리프레셔,6400,100,18,1.0,40.0,0.0,30,Hot
1078,유자 패션 피지오,스타벅스 피지오,5900,145,36,0.0,5.0,0.0,0,Hot
1079,쿨 라임 피지오,스타벅스 피지오,6400,105,25,0.0,20.0,0.0,110,Hot
1080,피치 딸기 피지오,스타벅스 피지오,5900,145,26,0.0,20.0,0.0,37,Hot
1081,민트 블렌드 티,티,4500,0,0,0.0,0.0,0.0,0,Hot
1082,블루밍 프루트 유스베리 티,티,5500,175,40,1.0,0.0,0.0,20,Hot
1083,아이스 민트 블렌드 티,티,4500,0,0,0.0,0.0,0.0,0,Ice
1084,아이스 얼 그레이 티,티,4500,0,0,0.0,0.0,0.0,50,Ice
1085,아이스 유스베리 티,티,5000,0,0,0.0,0.0,0.0,20,Ice
1086,아이스 유자 민트 티,티,4500,145,37,0.0,5.0,0.0,0,Ice
1087,아이스 잉글리쉬 브렉퍼스트 티,티,4500,0,0,0.0,0.0,0.0,40,Ice
1088,아이스 제주 유기 녹차,티,5300,0,0,0.0,0.0,0.0,16,Ice
1089,아이스 캐모마일 블렌드 티,티,4500,0,0,0.0,0.0,0.0,0,Ice
1090,아이스 히비스커스 블렌드 티,티,4500,0,0,0.0,0.0,0.0,0,Ice
1091,얼 그레이 티,티,4500,0,0,0.0,0.0,0.0,70,Hot
1092,유스베리 티,티,4500,0,0,0.0,0.0,0.0,20,Hot
1093,유자 민트 티,티,4500,235,58,0.0,10.0,0.0,0,Hot
1094,잉글리쉬 브렉퍼스트 티,티,4500,0,0,0.0,0.0,0.0,70,Hot
1095,자몽 허니 블랙 티,티,5700,125,30,0.0,5.0,0.0,70,Hot
1096,제주 금귤 패션 티,티,5700,230,52,1.0,10.0,0.0,0,Hot
1097,제주 유기 녹차,티,5300,0,0,0.0,0.0,0.0,16,Hot
1098,캐모마일 블렌드 티,티,4500,0,0,0.0,0.0,0.0,0,Hot
1099,히비스커스 블렌드 티,티,4500,0,0,0.0,0.0,0.0,0,Hot
1100,레드 파워 패션 티,티,5900,190,31,1.0,40.0,0.0,33,Hot
1101,아이스 자몽 허니 블랙 티,티,5700,125,30,0.0,5.0,0.0,30,Ice
1102,아이스 제주 금귤 패션 티,티,5700,230,52,1.0,10.0,0.0,0,Ice
1103,제주 한라봉 말차 블렌디드,티,5300,330,77,2.0,35.0,0.0,30,Hot
1104,플럼 선셋 유스베리 티,티,6100,175,36,0.0,10.0,0.0,8,Hot
1105,돌체 블랙 밀크 티,티,5900,250,34,8.0,115.0,5.0,60,Hot
1106,말차 샷 아포가토,티,7000,230,18,4.0,70.0,10.0,30,Hot
1107,말차 티 슈페너,티,6500,400,38,10.0,220.0,15.0,60,Hot
1108,아이스 돌체 블랙 밀크 티,티,5900,210,31,6.0,85.0,3.7,35,Ice
1109,아이스 말차 티 슈페너,티,6500,320,31,7.0,160.0,12.0,60,Ice
1110,아이스 얼 그레이 바닐라 티 라떼,티,6100,325,33,8.0,115.0,11.0,29,Ice
1111,아이스 제주 유기농 말차로 만든 라떼,티,6100,155,16,6.0,95.0,3.6,60,Ice
1112,아이스 차이 티 라떼,티,5500,190,31,5.0,70.0,3.0,70,Ice
1113,얼 그레이 바닐라 티 라떼,티,6100,360,36,9.0,120.0,12.0,55,Hot
1114,제주 유기농 말차로 만든 라떼,티,6100,205,20,9.0,130.0,5.0,60,Hot
1115,차이 티 라떼,티,5500,200,31,6.0,70.0,3.0,70,Hot
1116,시그니처 핫 초콜릿,기타 제조 음료,5300,500,52,15.0,105.0,9.0,15,Hot
1117,아이스 시그니처 초콜릿,기타 제조 음료,5300,325,32,10.0,70.0,7.0,15,Ice
1118,플러피 판다 아이스 초콜릿,기타 제조 음료,6300,415,39,11.0,150.0,16.0,0,Ice
1119,플러피 판다 핫 초콜릿,기타 제조 음료,6300,470,48,12.0,160.0,17.0,0,Hot
1120,스타벅스 슬래머,기타 제조 음료,6500,235,55,0.0,0.0,0.0,0,Hot
1121,스팀 우유,기타 제조 음료,4100,215,18,13.0,173.0,7.0,0,Hot
1122,아이스 제주 까망 라떼,기타 제조 음료,7200,440,45,10.0,210.0,11.0,0,Ice
1123,우유,기타 제조 음료,3700,240,18,12.0,200.0,8.0,0,Hot
1124,제주 까망 라떼,기타 제조 음료,7200,445,49,13.0,250.0,7.0,0,Hot
